Id;Category;Tweet
1.00462194290792E+018;c1;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…
1.00462194488331E+018;c3;RT @iamblackbear: someone asked me how often i want to die today
1.00462194533641E+018;c0;Read the thread. #ItsOkNotToBeOk #reachout #itsgoodtotalk https://t.co/20Ccdv7Mrs
1.00462194842762E+018;c6;Oh my God 🤣🤣🤣🤣🤣🤣🤣 https://t.co/mPL2eE4hAj
1.00462194915327E+018;c2;RT @QGotNoRings: Y'all would make women orgasm more if you actively asked them what they want, what's working, what's not and how you can d…
1.00462195022265E+018;c4;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00462195346503E+018;c5;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…
1.00462195726492E+018;c1;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…
1.00462195795278E+018;c4;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00462195666108E+018;c2;@FabuPonah I don't know the details but I know your pain. Try to calm yourself, it sucks but it's not a tragedy and… https://t.co/nNCCek0Axz
1.0046219596934E+018;c5;RT @BenKissel: I don't care who does it. I don't care which political party does it. I want to see human beings who were over-sentenced by…
1.00462196077992E+018;c0;Just as you think you're done crying about that guy who broke your heart, some dumb thing on tv sets you of again.… https://t.co/qDbSPLqnJO
1.00462196107753E+018;c4;End world hunger: Take a dictionary, and remove all references to hunger! Can't be spoken, it doesn't exist!
1.0046219617362E+018;c5;@ThomasCookCares Thomas Cook cares? Clearly not.... I've messaged you on 2 occasions on how we've had our last 2 ho… https://t.co/20TfxeBPfj
1.00462196325453E+018;c2;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
